,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
23,Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.50544,..,..,..,..,..,BMU
24,Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.73967,..,..,..,..,..,..,..,BTN
25,Bolivia (Plurinational State of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.69893,59.04025,57.04784,55.28587,..,..,..,44.36407,41.42176,..,34.42298,31.58029,26.43784,23.36538,20.19972,22.15601,..,17.39819,16.9137,15.48921,..,BOL
26,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.7319,21.83591,17.71733,16.3609,14.17801,13.49431,13.36894,13.04088,11.964,17.61666,17.79333,18.74734,15.34751,14.59532,14.7879,14.82407,15.27047,16.55818,..,BIH
27,Botswana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BWA
28,Brazil,..,76.42996,77.94211,65.73925,65.59178,64.96293,65.24675,63.63167,61.65744,58.49227,56.25776,..,..,..,..,..,..,..,..,43.77248,..,..,..,..,..,18.99027,..,..,16.70808,11.5578,10.00674,..,10.22538,8.63631,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BRA
29,British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.28061,..,5.84029,..,7.28817,9.68161,8.6311,8.10689,9.77426,9.39503,..,..,VGB
30,Brunei Darussalam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BRN
31,Bulgaria,..,..,..,..,..,..,..,..,..,22.76625,22.7348,19.21746,18.9768,17.83682,19.43849,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8718,8.89731,8.64715,9.65176,8.93083,6.27916,6.1468,4.66862,6.04257,10.07255,12.94093,12.91921,12.09012,..,BGR
32,Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.74455,12.10109,11.3567,10.37251,10.13076,12.24551,11.73473,12.15893,13.31884,13.64073,15.02148,15.98253,15.57946,13.69602,12.6314,11.17078,9.84947,8.7974,9.70634,..,..,BFA
33,Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.00334,..,89.73384,..,87.58483,87.2053,86.37851,85.3832,84.40184,81.98806,79.19904,68.28914,66.85087,64.25296,60.79848,..,54.84934,56.99314,54.51472,..,BDI
34,Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.89925,52.14929,..,..,..,..,..,..,41.83737,..,KHM
35,Cameroon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.27815,89.57001,88.80413,87.58942,83.27519,79.28315,76.55102,..,54.42762,41.5737,41.3261,..,..,..,..,..,..,..,..,..,..,CMR
