,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,M49 code,ISO-alpha3 code
22,Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.51102,..,..,..,..,..,204,BEN
23,Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.52716,..,..,..,..,..,..,..,060,BMU
24,Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.07545,53.25872,50.59638,48.00304,..,..,..,36.49726,32.96244,..,26.42758,22.62255,18.94145,17.10785,14.76907,16.45959,..,15.66503,16.43784,16.52545,..,064,BTN
25,Bolivia (Plurinational State of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.58744,12.45249,10.36087,9.33136,8.27077,7.97365,7.9331,7.95181,8.40875,9.6261,10.98763,12.62627,12.82493,12.83494,13.08497,12.77864,12.41871,12.23217,..,068,BOL
26,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,070,BIH
27,Botswana,..,63.51413,62.86544,55.91531,53.00674,48.21183,45.18254,41.66094,40.22694,37.9209,34.31621,..,..,..,..,..,..,..,..,23.00035,..,..,..,..,..,19.26499,..,..,15.39446,13.66617,12.34654,..,11.59773,10.90619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,072,BWA
28,Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.35864,..,8.20115,..,4.65985,..,6.3816,6.78335,6.1972,5.93439,7.17521,6.56553,..,..,076,BRA
29,British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,092,VGB
30,Brunei Darussalam,..,..,..,..,..,..,..,..,..,21.61706,21.71355,21.35777,22.023,20.77029,21.10418,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.7072,7.18189,7.14427,7.45229,6.16824,4.67008,4.70473,4.22808,4.35844,7.33253,9.32006,8.80969,8.43302,..,096,BRN
31,Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.69808,9.05607,8.78573,8.19208,8.27055,9.87712,9.37381,10.05335,10.74183,10.23381,11.07728,11.65461,11.15261,9.59498,9.28597,8.65109,7.81901,7.54583,8.74063,..,..,100,BGR
32,Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.31887,..,78.90474,..,76.85964,75.39644,72.50042,70.04619,66.75018,62.1914,59.02354,54.87821,51.56834,49.46079,47.10279,..,42.65071,40.601,38.72882,..,854,BFA
33,Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.76515,28.56146,..,..,..,..,..,..,19.44688,..,108,BDI
34,Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.99141,52.49652,50.29673,..,..,41.16653,..,..,30.42794,24.2807,24.99841,..,..,..,..,..,..,..,..,..,..,116,KHM
35,Cameroon,..,59.45438,58.6952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.22651,..,28.03959,26.90391,..,..,..,120,CMR
36,Canada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.01247,4.08406,4.36629,3.94646,2.1703,..,..,124,CAN
37,Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.73582,11.6244,13.24031,12.24699,12.16971,12.73699,..,14.41056,..,..,17.38251,18.05584,18.83107,19.56683,20.20905,20.30752,..,132,CPV
38,Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,136,CYM
39,Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.8767,..,59.11413,57.60575,..,..,..,..,..,..,140,CAF
40,Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.67488,74.95463,73.08231,71.18476,68.94767,67.66742,..,..,..,..,..,..,..,..,..,..,..,52.8692,54.99184,..,..,148,TCD
41,Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
42,Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.46598,5.07224,7.22657,6.07105,6.78957,7.85381,7.36733,7.42358,7.17178,6.66562,6.01997,..,152,CHL
43,China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,156,CHN
44,"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.5103,5.79631,5.88533,5.75037,4.33281,3.79582,..,344,HKG
45,"China, Macao Special Administrative Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.91912,..,17.07615,..,..,..,..,..,..,15.16948,13.10303,12.84864,15.16308,17.62279,19.28045,20.27101,20.20355,20.86921,20.83692,20.06243,16.75025,17.3218,16.54453,15.29175,13.25869,10.24526,6.53047,4.35993,..,446,MAC
