,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,M49 code,ISO-alpha3 code
97,Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.09124,11.01749,8.41139,7.43527,5.90156,4.88926,4.79404,6.5007,5.20703,4.87452,5.20138,5.17231,5.64643,5.96876,6.84879,6.64106,6.13156,5.92331,6.32058,6.38537,..,..,348,HUN
98,Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.01375,8.06227,8.71252,8.6316,7.74987,7.97583,8.42989,7.13743,6.24043,5.07208,5.21961,6.05083,5.94358,6.91738,6.87805,6.34086,6.08561,5.26055,4.24819,..,..,352,ISL
99,India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.50694,..,..,..,..,..,356,IND
100,Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.87017,22.86591,20.94897,20.30642,23.62563,22.75609,18.35385,19.0148,17.89001,15.95809,12.06694,11.93258,13.47708,14.77175,..,..,..,..,360,IDN
101,Iran (Islamic Republic of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.25247,13.2625,11.01435,8.42061,8.99952,8.25627,..,6.64834,7.00131,..,364,IRN
102,Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.38058,41.28637,..,..,33.74109,33.33296,..,..,29.25212,..,..,..,..,..,..,..,..,..,..,..,368,IRQ
103,Ireland,..,..,..,8.88752,8.59157,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.20663,3.06971,1.21285,1.20378,0.95865,0.60927,0.43166,0.31837,0.88499,0.59683,0.82083,0.64759,0.0155,..,0.13876,..,0.24517,..,0.02692,..,..,372,IRL
104,Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,833,IMN
105,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.04081,1.7738,1.11436,1.33977,1.46928,1.57571,1.3593,1.50143,1.29323,1.22435,1.42738,1.17563,1.3866,1.07253,1.44864,1.4895,1.1607,1.25704,1.15962,..,376,ISR
106,Italy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.66397,8.71344,6.84438,6.35707,5.80472,5.07742,4.85458,3.76837,4.38999,3.25073,3.42909,2.87314,4.45742,4.52413,3.23669,3.01868,2.53997,2.46368,..,..,380,ITA
107,Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.66562,11.67744,12.46221,11.92349,12.38386,9.34034,..,..,..,..,..,..,..,..,..,..,..,..,..,..,388,JAM
108,Japan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.17619,1.59259,1.15585,1.26781,..,..,392,JPN
109,Jersey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,832,JEY
110,Jordan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.14353,13.53924,..,10.844,9.75611,9.97153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400,JOR
111,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.34945,..,..,..,..,..,0.76855,..,..,..,0.23435,0.28386,0.11957,0.15957,..,..,..,..,..,398,KAZ
112,Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.04556,..,37.75059,30.28143,29.50954,28.1161,28.78484,25.66765,22.45691,21.77841,..,..,..,..,..,..,..,..,..,404,KEN
113,Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,296,KIR
114,Kuwait,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.16764,..,..,11.43535,12.46223,11.70181,..,..,..,..,..,5.79377,5.91551,..,5.9672,7.22057,6.4643,7.17308,7.14456,5.06882,..,..,..,414,KWT
115,Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.066,9.95323,9.40798,10.14388,..,..,..,..,..,..,10.23029,7.55784,5.92481,5.42351,..,417,KGZ
116,Lao People's Democratic Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.92995,..,..,..,..,41.37233,39.22522,38.61885,38.94133,39.27117,38.31343,35.90591,34.65143,34.04446,34.0004,32.77615,31.00667,27.8867,25.44428,28.07789,26.88294,24.51229,21.45998,20.279,20.08096,20.36477,..,418,LAO
117,Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92941,4.07012,3.60338,3.24696,3.48097,2.48861,2.85275,2.94383,2.43201,2.18054,..,428,LVA
118,Lebanon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.9082,18.44948,18.08069,16.93442,17.5674,17.92543,22.14091,..,..,..,..,..,..,422,LBN
119,Lesotho,..,..,35.24731,32.58068,..,..,..,28.62697,26.51387,25.57878,25.13946,24.52425,22.07595,22.42063,23.30121,20.90403,20.74158,..,..,..,..,17.02981,17.82088,20.95162,19.68692,..,20.15538,..,25.9617,27.08679,19.01308,18.43631,18.18798,16.85992,17.90377,18.21463,18.66517,22.2331,21.73254,21.11365,19.88387,19.90232,20.04799,21.67827,21.95463,22.05479,22.24856,..,..,426,LSO
120,Liberia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.5351,49.53802,..,..,..,430,LBR
121,Libya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,434,LBY
122,Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.91851,6.35779,..,..,..,7.09473,8.14844,8.51477,9.20472,7.53327,..,9.50984,9.63145,10.11488,..,..,438,LIE
123,Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.71109,3.91939,2.87785,1.57231,1.98145,1.69859,1.17984,0.77834,0.23073,0.17083,0.15327,0.41042,0.54651,0.42681,0.81385,0.67288,0.63415,0.59873,0.64354,..,..,440,LTU
124,Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.38439,6.14089,7.97739,8.57803,9.05522,9.01724,6.59009,6.1094,6.34555,6.2076,..,6.31338,6.73991,6.9862,7.67329,7.75636,7.283,6.63814,..,..,442,LUX
125,Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7548,..,39.32599,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,450,MDG
126,Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.73728,..,..,21.05414,..,22.24933,24.09302,23.28157,23.48195,18.94121,19.39897,..,..,..,17.76461,16.46288,16.44486,16.98552,..,..,454,MWI
127,Malaysia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.13411,13.03216,11.08853,10.64924,10.94688,6.54001,4.8013,7.39218,9.00935,11.63402,12.06518,11.03376,11.70109,11.67534,10.2491,11.26703,12.24798,11.60623,11.97854,11.79871,..,458,MYS
128,Maldives,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.58728,8.96212,..,8.23476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,462,MDV
129,Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.99246,51.45282,49.94779,..,..,50.31441,50.99601,50.85508,49.79811,..,466,MLI
130,Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.935,10.17487,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.15578,5.04452,4.15913,2.98213,3.8715,..,..,470,MLT
131,Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.20791,..,..,..,..,..,..,..,..,..,..,..,..,20.67933,21.37,..,..,584,MHL
132,Martinique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,474,MTQ
133,Mauritania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.71244,51.48602,..,46.09694,45.15631,44.75181,..,..,..,..,..,40.84031,41.14296,39.27248,..,40.45614,38.4249,..,478,MRT
134,Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.80747,16.95909,15.73016,14.77473,12.68629,..,9.9436,..,..,..,..,..,..,..,..,..,..,5.85908,6.88292,6.62776,..,480,MUS
135,Mayotte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175,MYT
136,Mexico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.74099,18.02863,..,15.60566,14.23363,13.86272,13.91305,14.01063,13.67981,13.6769,13.65716,13.61462,13.72578,13.34314,11.83068,11.14329,10.16892,9.47082,9.23448,..,484,MEX
137,Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,583,FSM
138,Monaco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,492,MCO
139,Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.52279,19.29752,16.8221,13.31682,12.63503,10.15076,8.10939,6.74453,5.76311,..,..,..,..,..,..,..,..,..,..,..,..,496,MNG
140,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.30274,7.56742,..,499,MNE
141,Montserrat,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.23352,..,..,..,..,..,..,..,..,..,..,..,500,MSR
142,Morocco,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.54551,30.60708,29.05532,28.16537,..,24.6569,22.42528,20.61152,..,..,..,..,13.07011,..,504,MAR
143,Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.69693,73.16796,..,..,..,62.55362,59.18591,55.38855,53.07628,..,46.87137,42.14929,39.20053,34.9139,31.67528,30.09943,28.88914,30.40568,30.75788,29.51538,29.54808,29.33893,..,..,..,508,MOZ
144,Myanmar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.01858,36.63295,36.34974,34.80125,31.93865,31.10494,30.08568,26.43926,..,28.97801,28.50988,..,..,..,..,..,..,18.6886,..,104,MMR
145,Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.154,14.53737,13.80767,13.38641,11.64995,13.20509,14.16649,14.01731,15.4024,13.24212,..,..,..,..,..,..,..,..,..,..,..,516,NAM
146,Nauru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.18377,..,18.60119,..,20.54129,..,..,520,NRU
147,Nepal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.56056,14.23061,..,18.20076,15.82208,10.714,10.89662,..,524,NPL
148,Netherlands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.63188,1.18157,1.6845,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,528,NLD
149,Netherlands Antilles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
150,New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,540,NCL
151,New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.23591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.65656,2.83499,2.37719,1.57076,0.91665,..,554,NZL
152,Nicaragua,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.79638,24.55428,19.20675,..,17.23296,15.99948,8.90648,..,..,..,8.73089,..,..,..,..,..,..,..,..,558,NIC
153,Niger,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.09185,..,84.00512,82.41924,80.51268,78.43439,76.9386,..,74.48616,72.45604,70.6044,67.69607,65.27153,..,..,61.45721,59.94799,..,56.09735,..,562,NER
154,Nigeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,566,NGA
155,Niue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,570,NIU
156,Norfolk Island,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,574,NFK
157,Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,580,MNP
158,Norway,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.56992,2.02072,2.17071,2.29405,2.35586,2.23867,2.42922,2.63147,2.09925,1.45123,1.75182,2.23679,2.54036,2.56869,2.34791,2.35637,2.17381,2.09432,1.91992,2.08436,..,578,NOR
159,Oman,..,..,..,..,..,..,..,..,..,..,..,..,75.09979,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.66095,19.7982,17.61482,17.76733,18.41864,..,..,..,..,..,8.79065,..,5.35535,3.9694,3.64773,..,3.6121,2.57005,4.22952,..,512,OMN
160,Pakistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.31741,55.73879,55.1526,54.00749,..,54.44311,53.7853,53.4574,50.62367,48.57276,45.59916,46.09597,..,586,PAK
161,Palau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,585,PLW
162,Palestine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.72798,16.65017,15.88258,15.13891,14.11672,13.13676,12.67252,11.89239,12.06213,11.38399,11.79556,12.55284,12.7338,12.1768,12.1157,12.21023,11.72243,11.18089,9.85675,..,,
163,Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.34811,17.12701,15.48305,13.67039,..,13.6645,14.20901,..,..,13.36631,14.2007,13.58836,13.87491,..,13.20373,15.16702,16.30297,..,..,..,591,PAN
164,Papua New Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.66049,..,..,598,PNG
165,Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.29291,..,13.97739,14.73446,15.22854,14.52858,14.46821,15.49366,16.3942,16.75624,17.2609,17.2378,16.79892,16.49165,..,..,..,..,..,..,600,PRY
166,Peru,34.81358,..,..,..,..,..,..,..,..,..,..,19.54492,..,..,..,..,..,..,..,..,..,..,..,..,..,15.19855,..,..,6.73132,6.02123,5.87207,4.92708,5.72631,..,6.29658,6.19646,5.43111,4.43141,3.95684,3.57944,3.32753,3.43182,..,..,..,..,..,..,..,604,PER
167,Philippines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.14224,14.73031,..,11.58412,10.44386,9.68874,9.53734,10.04678,11.15204,10.85568,9.73181,8.39556,..,..,..,..,3.84571,4.62425,..,..,..,608,PHL
168,Pitcairn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,612,PCN
169,Poland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.11926,5.98929,4.93981,4.98046,5.34243,6.35836,6.05413,6.12488,6.33569,6.71153,6.78964,7.09185,7.2829,7.09866,6.27933,6.2969,5.5804,5.10942,..,..,616,POL
170,Portugal,..,..,..,28.1034,27.16386,..,22.92173,..,21.5536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.06004,6.87949,7.36869,..,..,..,6.56925,5.37351,5.8064,6.19466,5.88182,..,4.64235,4.67618,..,..,..,..,..,..,2.01655,2.23525,2.60543,2.96581,..,..,620,PRT
171,Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.79878,17.95089,17.66146,16.79843,18.52492,24.10434,..,..,630,PRI
172,Qatar,..,..,..,..,..,..,..,..,..,..,12.036,..,..,13.10444,14.35215,13.76956,..,..,..,..,..,18.26836,..,..,..,..,..,..,11.18728,8.06247,..,..,9.58385,..,11.6979,6.15718,7.06581,6.5271,..,6.40882,5.17853,4.43075,3.96768,6.80438,6.32121,4.65617,4.82934,6.24779,..,634,QAT
173,Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9743,2.6874,3.1596,2.86794,3.18751,4.03823,3.58066,2.39288,1.82332,1.35744,2.20125,2.53163,2.76406,2.40498,2.73684,2.12644,2.34133,3.31453,3.01042,1.65166,2.91483,..,..,410,KOR
174,Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.29975,12.99654,12.15302,11.28489,10.69038,11.74335,12.13354,14.23897,12.11695,15.82339,16.14241,16.87303,16.65219,17.01807,17.60952,17.94112,17.88629,17.0631,..,498,MDA
175,Réunion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,638,REU
176,Romania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.6135,13.71716,..,..,642,ROU
177,Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1711,2.8143,..,..,..,..,643,RUS
178,Rwanda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,646,RWA
179,Saint Helena,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,654,SHN
180,Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,659,KNA
181,Saint Lucia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.59968,15.22541,16.43343,13.06766,13.00868,18.49241,13.81872,9.90199,9.59565,..,..,..,..,..,..,..,..,..,..,..,662,LCA
182,Saint Pierre and Miquelon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,666,SPM
183,Saint Vincent and the Grenadines,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.8105,12.25615,5.94465,6.61275,6.2821,7.08472,..,..,4.24088,3.91765,5.71241,..,..,8.5212,..,4.34148,4.60123,4.5413,..,670,VCT
184,Saint-Barthélemy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
185,Saint-Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
186,Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.14641,12.9491,15.59129,12.38797,..,..,..,..,..,..,..,4.52823,5.1301,5.54876,5.76598,..,4.48019,6.38901,6.52526,..,..,882,WSM
187,San Marino,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,674,SMR
188,Sao Tome and Principe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.36963,23.45263,20.53379,..,16.78197,16.39674,14.27717,15.8491,..,..,14.50961,13.38585,10.60989,..,..,..,678,STP
189,Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.88494,..,..,..,5.7346,..,..,..,..,..,682,SAU
190,Senegal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.52096,53.22614,52.03114,..,..,..,..,..,..,..,..,..,..,35.94305,..,686,SEN
191,Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.54193,6.73555,7.40038,4.42037,4.32901,4.21933,4.38462,3.3357,3.80967,4.30745,..,688,SRB
192,Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.03806,21.83105,21.33422,17.25236,15.30747,13.93568,13.2372,11.82657,..,..,..,..,..,..,..,11.39988,..,..,..,..,..,690,SYC
193,Sierra Leone,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.83775,..,29.75024,..,26.06764,..,694,SLE
194,Singapore,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0977,..,..,702,SGP
195,Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,534,SXM
196,Slovakia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,703,SVK
197,Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.45437,5.94735,4.92133,5.07542,4.82337,4.60516,4.65335,4.51509,4.00028,4.14836,3.98203,3.52388,3.18478,3.01583,2.69872,2.39399,2.82688,1.71229,2.38351,..,..,705,SVN
