,Both,CountryCode,Secondary,Primary,Country,Mortality
209,..,,..,..,,
210,..,,..,..,,
211,..,,..,..,,
212,..,,..,..,,
213,..,,..,9.81407,,
214,..,,..,20.36703,,
215,..,,..,20.46128,,
216,..,,..,11.21139,,
217,..,,..,23.00016,,
218,..,,..,11.18052,,
219,..,,..,10.00761,,
220,..,,..,12.35377,,
221,..,,..,6.72871,,
222,..,,..,2.9226,,
223,..,,..,6.83978,,
224,..,,..,4.20922,,
225,..,,..,3.02331,,
226,..,,..,6.13284,,
227,..,,..,4.15171,,
228,..,,..,9.71081,,
229,..,,..,2.55844,,
230,..,,..,22.1755,,
231,..,,..,2.89136,,
232,..,,..,2.15194,,
233,..,,..,3.94069,,
234,..,,..,..,,
235,..,,..,9.81407,,
236,..,,..,12.28954,,
237,..,,..,4.39052,,
238,..,,..,3.07241,,
239,..,,..,4.34201,,
240,..,,..,4.15255,,
241,..,,..,2.61416,,
242,..,,..,6.83978,,
243,..,,..,22.99368,,
244,..,,..,11.03201,,
245,..,,..,..,,
246,..,,..,22.26003,,
247,..,,..,10.66408,,
248,..,,..,8.01748,,
249,..,,..,3.71165,,
250,..,,..,2.75513,,
251,..,,..,,,
252,..,,..,,,
253,..,,..,,,
254,..,,..,,,
255,..,,..,,,
256,..,,..,,,
257,..,,..,..,,
258,..,,..,15.08671,,
259,..,,..,..,,
260,..,,..,..,,
261,..,,..,6.27012,,
262,..,,..,..,,
263,..,,..,..,,
264,..,,..,..,,
265,..,,..,..,,
266,..,,..,..,,
267,..,,..,9.81407,,
268,..,,..,20.36703,,
269,..,,..,20.46128,,
270,..,,..,11.21139,,
271,..,,..,23.00016,,
272,..,,..,11.18052,,
273,..,,..,10.00761,,
274,..,,..,12.35377,,
275,..,,..,6.72871,,
276,..,,..,2.9226,,
277,..,,..,6.83978,,
278,..,,..,4.20922,,
279,..,,..,3.02331,,
280,..,,..,6.13284,,
281,..,,..,4.15171,,
282,..,,..,9.71081,,
283,..,,..,2.55844,,
284,..,,..,22.1755,,
285,..,,..,2.89136,,
286,..,,..,2.15194,,
287,..,,..,3.94069,,
288,..,,..,..,,
289,..,,..,9.81407,,
290,..,,..,12.28954,,
291,..,,..,4.39052,,
292,..,,..,3.07241,,
293,..,,..,4.34201,,
294,..,,..,4.15255,,
295,..,,..,2.61416,,
296,..,,..,6.83978,,
297,..,,..,22.99368,,
298,..,,..,11.03201,,
299,..,,..,..,,
300,..,,..,22.26003,,
301,..,,..,10.66408,,
302,..,,..,8.01748,,
303,..,,..,3.71165,,
304,..,,..,2.75513,,
305,..,,..,,,
306,..,,..,,,
307,..,,..,,,
308,..,,..,,,
309,..,,..,,,
310,..,,..,,,
311,..,,7.73983,..,,
312,..,,7.73983,15.08671,,
313,..,,7.73983,..,,
314,..,,7.73983,..,,
315,..,,7.73983,6.27012,,
316,..,,7.73983,..,,
317,..,,7.73983,..,,
318,..,,7.73983,..,,
319,..,,7.73983,..,,
320,..,,7.73983,..,,
321,..,,7.73983,9.81407,,
322,..,,7.73983,20.36703,,
323,..,,7.73983,20.46128,,
324,..,,7.73983,11.21139,,
325,..,,7.73983,23.00016,,
326,..,,7.73983,11.18052,,
327,..,,7.73983,10.00761,,
328,..,,7.73983,12.35377,,
329,..,,7.73983,6.72871,,
330,..,,7.73983,2.9226,,
