,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
19,Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.2867,..,..,..,..,..,..,..,..,..,..,..,..,..,8.36814,8.69809,9.0297,5.68568,5.90957,6.41912,4.48557,3.44824,4.17454,..,BLR
20,Belgium,..,..,..,..,..,..,..,3.57873,..,2.08401,1.55226,2.4955,2.61834,5.28895,5.86217,6.21544,4.86677,3.2759,1.95614,..,..,2.07162,3.65028,2.02585,2.72618,2.78134,2.33657,..,..,0.7733,0.63781,0.69053,0.92791,1.96866,3.38631,3.7879,3.57411,2.53817,1.93951,2.05359,2.26712,2.13122,1.86731,1.83575,2.01262,1.66103,1.37674,..,..,BEL
21,Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.10016,4.15077,6.65697,..,5.36386,3.82163,4.89294,3.89778,4.07831,3.91568,3.06189,1.85894,2.94798,0.19255,1.34751,1.50504,1.26425,1.39222,1.10702,..,BLZ
22,Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.67376,66.04375,67.04756,..,67.20838,66.75621,72.91665,..,67.00196,63.70356,61.33219,58.74987,56.09093,52.40661,..,..,..,..,..,..,..,..,21.57448,..,16.41868,..,..,10.38344,..,..,..,..,..,..,..,BEN
23,Bermuda,..,..,..,..,..,..,..,..,18.96662,21.0802,..,..,..,..,6.37255,5.02712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.64355,18.49662,..,..,..,..,..,..,BMU
24,Bhutan,..,..,..,..,..,..,..,..,86.89611,84.56825,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.50336,49.13483,45.7953,42.34255,..,..,..,29.52523,25.37719,..,19.17693,14.46425,12.09336,11.38712,9.81584,11.29671,..,14.13276,16.02316,17.41901,..,BTN
25,Bolivia (Plurinational State of),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.52836,5.20185,4.35369,3.92651,3.68886,2.96266,2.91736,2.95821,2.9879,3.30787,5.14768,2.23882,4.62999,6.86173,10.43243,11.15461,11.44951,10.80256,9.65372,8.02437,..,BOL
26,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,BIH
27,Botswana,52.92062,55.73136,53.78717,50.04162,45.50706,38.25725,33.30225,28.71547,27.67043,25.93211,21.5853,17.30777,..,14.07676,14.21844,12.75647,12.5373,11.86655,11.3324,11.26021,11.50783,9.50793,10.55404,11.30278,11.26532,19.44582,18.37171,..,14.46086,15.17709,14.02181,12.49449,12.56708,12.50416,13.28229,12.7408,12.19389,12.95013,13.416,12.98208,..,..,6.52576,6.00333,10.0938,..,..,..,..,BWA
28,Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.48602,2.74016,..,6.29429,2.0993,2.46699,..,4.59789,0.72518,2.15521,2.38903,2.95795,1.90702,..,..,BRA
